"","gene_type","gene_name"
"126955","protein_coding","PITHD1"
"127023","protein_coding","LYPLA2"
"127585","protein_coding","GALE"
"128003","protein_coding","HMGCL"
"128649","protein_coding","FUCA1"
"128711","protein_coding","CNR2"
"128738","protein_coding","PNRC2"
"128871","protein_coding","SRSF10"
"129231","protein_coding","MYOM3"
"129748","protein_coding","IL22RA1"
"129821","protein_coding","IFNLR1"
"129935","protein_coding","GRHL3"
"130329","protein_coding","STPG1"
"130523","protein_coding","NIPAL3"
"131100","protein_coding","RCAN3"
"131271","protein_coding","NCMAP"
"131360","protein_coding","SRRM1"
"133279","protein_coding","CLIC4"
"133365","protein_coding","RUNX3"
"133518","protein_coding","SYF2"
"133736","protein_coding","RSRP1"
"133957","protein_coding","RHD"
"134187","protein_coding","TMEM50A"
"134385","protein_coding","RHCE"
"134564","protein_coding","MACO1"
"134794","protein_coding","LDLRAP1"
"135045","protein_coding","MAN1C1"
"135286","protein_coding","SELENON"
"135410","protein_coding","ENSG00000255054"
"135455","protein_coding","MTFR1L"
"136422","protein_coding","AUNIP"
"136469","protein_coding","PAQR7"
"136511","protein_coding","STMN1"
"137017","protein_coding","PAFAH2"
"137551","protein_coding","EXTL1"
"137745","protein_coding","SLC30A2"
"137890","protein_coding","TRIM63"
"137922","protein_coding","PDIK1L"
"138030","protein_coding","FAM110D"
"138089","protein_coding","C1orf232"
"138114","protein_coding","ZNF593OS"
"138191","protein_coding","ZNF593"
"138212","protein_coding","CNKSR1"
"138721","protein_coding","CATSPER4"
"138898","protein_coding","CEP85"
"139506","protein_coding","SH3BGRL3"
"139580","protein_coding","UBXN11"
"140076","protein_coding","CD52"
"140093","protein_coding","CRYBG2"
"140251","protein_coding","ZNF683"
"140445","protein_coding","LIN28A"
"140522","protein_coding","DHDDS"
"141481","protein_coding","HMGN2"
"141894","protein_coding","RPS6KA1"
"142527","protein_coding","ARID1A"
"142882","protein_coding","PIGV"
"143363","protein_coding","ZDHHC18"
"143490","protein_coding","SFN"
"143501","protein_coding","GPN2"
"143574","protein_coding","GPATCH3"
"143631","protein_coding","NUDC"
